arc_length,stress_height_5.0,stress_height_7.5,stress_height_10.0,stress_height_12.5,stress_height_15.0
0.000000000000000000e+00,1.057093107928196105e+03,9.428421075649165459e+02,8.684478928947381746e+02,8.020839920755937555e+02,7.466068747695661614e+02
1.678955665537245345e-01,1.188293988157438577e+02,1.546246938783283440e+02,2.216955288357676181e+02,2.649707257878560540e+02,2.914583422789607425e+02
3.357911331074490691e-01,1.174407826256817913e+02,1.153458714371066378e+02,1.135757519422640485e+02,1.062691642655530870e+02,9.745480826569735200e+01
5.036866996611736313e-01,4.329278113112376758e+01,5.381927465809675226e+01,6.753389951958749293e+01,7.875705453758411068e+01,8.591483578367467544e+01
6.715822662148981381e-01,3.913569913821068269e+01,4.565109212686027718e+01,4.680184151272141690e+01,4.477540038460866612e+01,4.536070437836043823e+01
8.394778327686226449e-01,2.630579189424331332e+01,3.258543593385083881e+01,3.651367266411936185e+01,3.979699844392104069e+01,3.915012778403612970e+01
1.007373399322347263e+00,2.176807213399538554e+01,2.698276722889491097e+01,2.930467847114565672e+01,3.005026356571558210e+01,3.242467207818810238e+01
1.175268965876071769e+00,1.754104052751304010e+01,2.209047274356476365e+01,2.446294109941907990e+01,2.595239339919954347e+01,2.638031172277027991e+01
1.343164532429796276e+00,1.468689320276462240e+01,1.870235332049292509e+01,2.083814980067951694e+01,2.194157692140689164e+01,2.299678647631784756e+01
1.511060098983520783e+00,1.247546557920552779e+01,1.583835539505023249e+01,1.790295502756700685e+01,1.917753400994977042e+01,1.988175760938998948e+01
1.678955665537245290e+00,1.077135999202381988e+01,1.388723716484786941e+01,1.572569630995211121e+01,1.686485056149892969e+01,1.760359145883184695e+01
1.846851232090969797e+00,9.418113935304717188e+00,1.221717811528979958e+01,1.393889653848680510e+01,1.501312678227280095e+01,1.567668649051411300e+01
2.014746798644694525e+00,8.328072575294196866e+00,1.084013574639549837e+01,1.245492474729147148e+01,1.345982340121756593e+01,1.409524793020277578e+01
2.182642365198419032e+00,7.436194815332843433e+00,9.650553589656173159e+00,1.119874044457594664e+01,1.214897447232131711e+01,1.274943095144468153e+01
2.350537931752143539e+00,6.698264408513386670e+00,8.699327560822039729e+00,1.012647159881406012e+01,1.102342850992174483e+01,1.159693438941265775e+01
2.518433498305868046e+00,6.081177741300949791e+00,7.868859510822566961e+00,9.201515938424829955e+00,1.004877393411305597e+01,1.059531023269378558e+01
2.686329064859592552e+00,5.560854698910215888e+00,7.156111384317783042e+00,8.396029982090070121e+00,9.195550381858478062e+00,9.716903935860598196e+00
2.854224631413317059e+00,5.118925266974047261e+00,6.537603113145527445e+00,7.664169173690890347e+00,8.442775295733197183e+00,8.939442920067618203e+00
3.022120197967041566e+00,4.741514402560354391e+00,5.999279577277020437e+00,7.046623781395220831e+00,7.773661178104717351e+00,8.246078018333427906e+00
3.190015764520766073e+00,4.417617718390765447e+00,5.528394554752679824e+00,6.491085775329142216e+00,7.175209322113834887e+00,7.623493778135110865e+00
3.357911331074490580e+00,4.134090570532653608e+00,5.115409260559190763e+00,5.997556772586599472e+00,6.637098270884213669e+00,7.061248160840265520e+00
3.525806897628215086e+00,3.871893174704362117e+00,4.752256423061521851e+00,5.555271757676285560e+00,6.151129347534688208e+00,6.550540794940721057e+00
3.693702464181939593e+00,3.664252526506868168e+00,4.432338536492943071e+00,5.158307778725569115e+00,5.710737812563992932e+00,6.085024292787279521e+00
3.861598030735664100e+00,3.476884696100283278e+00,4.150158177014518834e+00,4.801163286856613865e+00,5.310443359645415029e+00,5.658752232222782119e+00
4.029493597289389051e+00,3.314211839317773745e+00,3.901174308228248844e+00,4.479535887009171269e+00,4.945631437496230909e+00,5.267203632207854369e+00
4.197389163843113558e+00,3.170832840874932668e+00,3.681480342570353947e+00,4.189718836822365233e+00,4.607010426215353505e+00,4.907018011564572291e+00
4.365284730396838064e+00,3.044642997187647193e+00,3.487778325227044895e+00,3.929259233618045855e+00,4.298386171900247632e+00,4.574700343167272365e+00
4.533180296950562571e+00,2.933170512961663867e+00,3.317183174083830455e+00,3.695272342887178763e+00,4.020660408412969566e+00,4.267644739004043508e+00
4.701075863504287078e+00,2.834649667305964016e+00,3.167216756971032332e+00,3.485666241853929481e+00,3.765349140103753545e+00,3.983592167785375615e+00
4.868971430058011585e+00,2.747448129724785915e+00,3.035660996299813785e+00,3.298478230696373359e+00,3.532376768745185025e+00,3.720683199673674668e+00
5.036866996611736091e+00,2.670380123858038690e+00,2.920499764719669766e+00,3.131971330911634599e+00,3.320115622569088654e+00,3.477473329268295554e+00
5.204762563165460598e+00,2.602357477373041572e+00,2.819964505423838474e+00,2.984595702988876553e+00,3.127480420533187200e+00,3.252754945869079872e+00
5.372658129719185105e+00,2.541663926285377517e+00,2.732316848459616754e+00,2.854997763452139736e+00,2.953419752944394627e+00,3.045530986994631206e+00
5.540553696272909612e+00,2.486495694224610808e+00,2.656229295428946813e+00,2.741891787080346976e+00,2.797115583817242790e+00,2.855309516749177323e+00
5.708449262826634119e+00,2.438756884602274688e+00,2.590507376792143823e+00,2.644093850976097393e+00,2.657882394160228756e+00,2.676834641245699586e+00
5.876344829380358625e+00,2.395815746129992707e+00,2.534013753456552998e+00,2.560447496785881683e+00,2.535073841122329252e+00,2.517603343333414845e+00
6.044240395934083132e+00,2.357621652361665099e+00,2.485614838291191564e+00,2.489880555225585379e+00,2.428140645454058166e+00,2.375182892936384071e+00
6.212135962487807639e+00,2.323462676567940477e+00,2.444607372506444332e+00,2.431317387942260932e+00,2.336542774443266524e+00,2.247870620093865401e+00
6.380031529041532146e+00,2.292929244884235551e+00,2.410009473545443370e+00,2.383723975422530117e+00,2.259719072541176654e+00,2.134271702840236706e+00
6.547927095595256652e+00,2.265662792508830847e+00,2.382537969484206819e+00,2.346079884626297130e+00,2.197061744735366862e+00,2.037902981287639914e+00
6.715822662148981159e+00,2.241170422018231356e+00,2.358249495856352240e+00,2.317413424754637852e+00,2.147901239927079597e+00,1.957588944888250193e+00
6.883718228702705666e+00,2.218467307759707019e+00,2.338273158370066884e+00,2.296778182475341268e+00,2.111494567768182673e+00,1.892850782220126149e+00
7.051613795256430173e+00,2.198686230077747883e+00,2.322217525434452146e+00,2.283277223017993407e+00,2.087004122789446914e+00,1.843798045837082622e+00
7.219509361810154680e+00,2.180778037931650815e+00,2.309487928393117340e+00,2.276061494120763751e+00,2.073558998478281179e+00,1.810135591648618369e+00
