x,y,stress_shear_10000
-1.140115302405724437e-17,-1.993878583677718576e-17,1.119205156541220325e-01
1.307308831355681322e-01,1.026181358626459816e-01,4.791005990388268188e-02
2.614714798982012978e-01,2.052238953138240118e-01,7.223658193497412006e-02
3.895610010032569126e-01,3.056835210675947767e-01,9.590553575351210003e-02
5.177040238985168852e-01,4.060748901913896480e-01,1.182105130891644706e-01
6.459223474455891845e-01,5.063700645994623217e-01,1.265606448185727650e-01
7.742377078099987875e-01,6.065410577388152813e-01,1.295236296628663186e-01
9.026717620208954962e-01,7.065598173840763607e-01,1.277101128486874126e-01
1.031246070801670855e+00,8.063982084650362925e-01,1.217094179764992845e-01
1.159981983403749028e+00,9.060281273430216276e-01,1.113121132104360894e-01
1.288900055536077893e+00,1.005422216361005150e+00,9.668364002031601401e-02
1.418020424467745455e+00,1.104553347717492251e+00,7.828640460784712374e-02
1.547363071333835105e+00,1.203394273049840812e+00,5.698838521136917468e-02
1.676947794033589512e+00,1.301917604483145974e+00,3.524060496657669544e-02
1.806794187347712022e+00,1.400095804195857774e+00,2.548308472147994483e-02
1.936921627343310304e+00,1.497901178587297766e+00,4.439505615404052558e-02
2.067349251277114774e+00,1.595305870453573860e+00,7.523297810551848874e-02
2.198096154986333595e+00,1.692281557542813175e+00,1.100019794466258333e-01
2.329183319657369466e+00,1.788796779994880293e+00,1.469661570653048310e-01
2.460632653945451054e+00,1.884818137969900276e+00,1.854663710115485864e-01
2.592465727211436644e+00,1.980311934220348791e+00,2.250998924702715398e-01
2.724703724422372186e+00,2.075244180834490137e+00,2.655676502595038513e-01
2.857367419762111727e+00,2.169580591693733851e+00,3.066335391662337040e-01
2.990477142923567477e+00,2.263286572890383042e+00,3.480970313806280858e-01
3.124052747755819315e+00,2.356327218284671066e+00,3.897975349168750214e-01
3.258113856784381479e+00,2.448666902969298231e+00,4.315968234882504584e-01
3.392681977116270620e+00,2.540266096861516498e+00,4.733743672570691619e-01
3.527779271277754258e+00,2.631082973378223056e+00,5.150331563615418995e-01
3.663427252691047631e+00,2.721075202452739372e+00,5.564954351519740827e-01
3.799646726398063112e+00,2.810199959741347175e+00,5.976994227530763037e-01
3.936457743867254777e+00,2.898413928742928913e+00,6.385980288976734753e-01
4.073879546673079943e+00,2.985673302193486922e+00,6.791593508917691535e-01
4.211930511427177670e+00,3.071933791288535165e+00,7.193669285513083489e-01
4.350628904568154098e+00,3.157149320315782326e+00,7.591978155170693299e-01
4.489995136288032818e+00,3.241268117548878003e+00,7.986112302999901491e-01
4.630049296917891688e+00,3.324236412365861870e+00,8.375956183339029471e-01
4.770810315402979285e+00,3.405999658010549158e+00,8.761351758680829827e-01
4.912295875106523546e+00,3.486502545582518042e+00,9.142270144167317092e-01
5.054522330801387575e+00,3.565689031196324521e+00,9.518654512017640235e-01
5.197504615145715157e+00,3.643502370086090902e+00,9.890627152061844951e-01
5.341256244068552483e+00,3.719884979475796438e+00,1.025827818428517224e+00
5.485790982400015281e+00,3.794775069970387715e+00,1.062130527537501701e+00
5.631122567350153041e+00,3.868106697763017632e+00,1.097939207669666573e+00
5.777263001219368199e+00,3.939812699004319185e+00,1.133244379110265987e+00
5.924222365715857030e+00,4.009824852016582675e+00,1.168021861395707850e+00
6.072008683628184578e+00,4.078073946828129515e+00,1.202259900954165905e+00
6.220627782676042550e+00,4.144489877946242018e+00,1.235934856840323004e+00
6.370083157455108669e+00,4.209001744571351900e+00,1.269041941228933545e+00
6.520376102126928863e+00,4.271537306358882624e+00,1.301545695574865436e+00
6.671505859347820255e+00,4.332022321388986796e+00,1.333416944596802711e+00
6.823469219029484556e+00,4.390381137892279462e+00,1.364606094332025288e+00
6.976260317522267052e+00,4.446536870980698275e+00,1.395078343740478788e+00
7.129870461162425066e+00,4.500411553982246460e+00,1.424762925384886358e+00
7.284287939482221752e+00,4.551926317098375030e+00,1.453600625222441822e+00
7.439497787520600980e+00,4.601001783699859793e+00,1.481468280145826766e+00
7.595480188618385142e+00,4.647563173971958506e+00,1.508381565251891931e+00
7.752210676632331321e+00,4.691540435794155250e+00,1.534330179146998319e+00
7.909661924719283199e+00,4.732862600796603481e+00,1.559283905880559429e+00
8.067803660572652191e+00,4.771457664627676287e+00,1.583148891446895856e+00
8.226602477724616946e+00,4.807252810867897352e+00,1.605856990095541947e+00
8.386021663274172866e+00,4.840174670594061368e+00,1.627206447930523048e+00
8.546020591221694218e+00,4.870152024608781716e+00,1.647002902038253280e+00
8.706552023000504903e+00,4.897132398547747734e+00,1.665327275948277785e+00
8.867564993209725799e+00,4.921071632886034664e+00,1.682311956386007612e+00
9.029006569298724472e+00,4.941924971216306695e+00,1.697895497124082720e+00
9.190821727163037025e+00,4.959647179427566499e+00,1.712043909151423238e+00
9.352953240429449977e+00,4.974192739579795131e+00,1.724610001247757207e+00
9.515341540221578853e+00,4.985516188933973858e+00,1.735321143093487839e+00
9.677923954921938687e+00,4.993586794796149420e+00,1.743969780581335227e+00
9.840635338794156084e+00,4.998401740783268821e+00,1.750895327634631293e+00
1.000341048094662533e+01,4.999961231388645011e+00,1.756185463830558513e+00
1.016618425975302564e+01,4.998265334393239279e+00,1.759911715419405498e+00
1.032889155026106387e+01,4.993313976092956352e+00,1.762010092585262422e+00
1.049146713453530211e+01,4.985106946601391087e+00,1.762405022049713832e+00
1.065384590394203990e+01,4.973647619769585582e+00,1.760724944719833873e+00
1.081596534300577517e+01,4.958968037372173399e+00,1.757088295858324267e+00
1.097776598249801694e+01,4.941113717136781602e+00,1.751779605094482051e+00
1.113919068616498897e+01,4.920130169881251625e+00,1.744943728196842736e+00
1.130018452511287208e+01,4.896062612915533130e+00,1.736631631501082129e+00
1.146069465338646687e+01,4.868955778378359689e+00,1.726894191023254477e+00
1.162067018939901786e+01,4.838853832573432712e+00,1.715627193452190946e+00
1.178006416299261083e+01,4.805810100305511590e+00,1.702712736185902465e+00
1.193883616114050739e+01,4.769896163178117376e+00,1.688199846049736941e+00
1.209694961267998714e+01,4.731185372664939770e+00,1.672759222216504416e+00
1.225437124634940211e+01,4.689750516054358442e+00,1.654724001270437173e+00
1.241107091722041211e+01,4.645663558517096448e+00,1.637934185796395159e+00
1.256702141775228654e+01,4.598995420579921500e+00,1.618880390853159046e+00
1.272219841874468393e+01,4.549816177963817765e+00,1.598867388267036338e+00
1.287658234395336621e+01,4.498200937781375863e+00,1.577671525855162571e+00
1.303015838139616456e+01,4.444229097769445858e+00,1.555713495066201046e+00
1.318291495008865688e+01,4.387979494118092738e+00,1.532736539805519715e+00
1.333484347943995552e+01,4.329530051244648625e+00,1.509729464297758117e+00
1.348593821985019936e+01,4.268957605436775715e+00,1.484232462300441480e+00
1.363619606871481338e+01,4.206337753871403073e+00,1.458542332311775436e+00
1.378561636296588411e+01,4.141744668675815255e+00,1.433126359707844077e+00
1.393420048013481782e+01,4.075250507275829825e+00,1.406791999388888437e+00
1.408195201438712196e+01,4.006926136320260845e+00,1.379925356302863504e+00
1.422887688832224207e+01,3.936841625856183580e+00,1.352452146206106542e+00
1.437498321369181475e+01,3.865066146169899408e+00,1.324463108318660431e+00
1.452028115565113531e+01,3.791667875756943307e+00,1.295952983829192107e+00
1.466478279397470175e+01,3.716713932933822573e+00,1.266960266564150173e+00
1.480850192085964956e+01,3.640270181438020725e+00,1.237563660598343329e+00
1.495145225498424146e+01,3.562398157535264342e+00,1.207826267237659623e+00
1.509364735578437156e+01,3.483155378426094462e+00,1.177735799662213534e+00
1.523510221795964092e+01,3.402598560060993815e+00,1.147277133576886765e+00
1.537583325419312708e+01,3.320783715906946654e+00,1.116470449700033729e+00
1.551585820132324223e+01,3.237766123602229928e+00,1.085311381366069750e+00
1.565519603824369987e+01,3.153600297822909404e+00,1.053821913218164097e+00
1.579386690258082737e+01,3.068339976213176445e+00,1.022009931447077635e+00
1.593189114748056845e+01,2.982036737099205581e+00,9.899156904240313803e-01
1.606928698238797537e+01,2.894736478858348061e+00,9.575536062367342449e-01
1.620607282101550339e+01,2.806483470554104631e+00,9.249207209765174520e-01
1.634226794014077555e+01,2.717321498922119272e+00,8.920228568431179950e-01
1.647789242456684278e+01,2.627293859402476173e+00,8.588818980920767121e-01
1.661296710933532594e+01,2.536443356009283168e+00,8.255275130377000004e-01
1.674751353575400259e+01,2.444812298698320951e+00,7.919823602277942243e-01
1.688155388755112796e+01,2.352442484148688173e+00,7.582711634959313773e-01
1.701510957928305601e+01,2.259373255316356133e+00,7.244420115620781031e-01
1.714820021125785132e+01,2.165640159617112648e+00,6.905239504501754499e-01
1.728084565799970562e+01,2.071278089988401128e+00,6.565630939070277172e-01
1.741306626836272287e+01,1.976321627393357039e+00,6.226073730001636664e-01
1.754488283443898666e+01,1.880805045225730998e+00,5.887178708274170003e-01
1.767631655782143341e+01,1.784762319052521251e+00,5.549658241293082828e-01
1.780738902252634048e+01,1.688227134798026663e+00,5.214349976799144137e-01
1.793812214482600709e+01,1.591232870367423224e+00,4.882176724765468490e-01
1.806853681028668035e+01,1.493810827499965299e+00,4.554327372138106123e-01
1.819865208857672911e+01,1.395989272777309553e+00,4.232121049570408133e-01
1.832848712677643377e+01,1.297796056857194236e+00,3.916977840812996270e-01
1.845806131120762927e+01,1.199258866129733869e+00,3.610595902494556086e-01
1.858739424679560770e+01,1.100405230994406347e+00,3.314946125366485807e-01
1.871650573802765294e+01,1.001262534393376757e+00,3.032371289202219211e-01
1.884541577134791979e+01,9.018580205879555001e-01,2.765717096236988692e-01
1.897414449309507489e+01,8.022188118307971294e-01,2.518560115574344227e-01
1.910271249321396070e+01,7.023722973445880591e-01,2.295396586442391973e-01
1.923114114006612496e+01,6.023465950552426840e-01,2.102002843921771391e-01
1.935945199974539577e+01,5.021698354514925189e-01,1.945497942202865649e-01
1.948766673190005250e+01,4.018700684683402247e-01,1.833922089130166910e-01
1.961580707505616417e+01,3.014752787472246842e-01,1.774828447313971658e-01
1.974389483097878184e+01,2.010134022294391976e-01,1.769299569833781005e-01
1.987195184574940043e+01,1.005123457875397308e-01,1.810055324543652644e-01
1.999999999999999289e+01,2.867291197051672674e-16,1.835436574081628081e-01
