x,y,stress_shear_10000
9.999999999999996447e+00,2.902252538976369467e-16,1.057093107928195195e+03
1.000830561172995203e+01,1.663661853704482829e-01,1.188309642913743289e+02
1.003292696429260999e+01,3.311133984672350317e-01,1.186337364674817394e+02
1.007303235820996257e+01,4.927966699194248901e-01,4.338380764232930176e+01
1.012739543412753740e+01,6.502677591397495460e-01,3.954804218530620830e+01
1.019457116874151836e+01,8.027229439393713806e-01,2.648339956585279253e+01
1.027305578377905704e+01,9.496849800689171062e-01,2.196913974508736445e+01
1.036140272832128240e+01,1.090946068409349268e+00,1.769837004899921595e+01
1.045829058885771978e+01,1.226498512111074968e+00,1.482614912821067854e+01
1.056255243547247957e+01,1.356470412566644024e+00,1.259588540821792435e+01
1.067317970677802030e+01,1.481073945401436109e+00,1.087744418885001174e+01
1.078931194657637427e+01,1.600567435778915248e+00,9.511948513318627008e+00
1.091022018774009972e+01,1.715229328432449352e+00,8.411714961524678458e+00
1.103528865140048509e+01,1.825341275557835763e+00,7.511068721360779854e+00
1.116399719875603580e+01,1.931177720228689054e+00,6.765621875003120955e+00
1.129590569068260208e+01,2.032999949754998426e+00,6.141972761328569064e+00
1.143064063283386389e+01,2.131053113804445953e+00,5.615893365131014114e+00
1.156788380814452744e+01,2.225564962193596230e+00,5.168838670841230609e+00
1.170736296774357221e+01,2.316745819479582913e+00,4.786831654644741363e+00
1.184884344400735756e+01,2.404788769651362568e+00,4.458932796501402507e+00
1.199212388941131735e+01,2.489871908610210127e+00,4.175467721664050558e+00
1.213703044447421675e+01,2.572158933520780622e+00,3.905542914648766128e+00
1.228340909097546785e+01,2.651798460008157221e+00,3.696307707866183012e+00
1.243112566051541812e+01,2.728927299187276390e+00,3.505902648861102922e+00
1.258006323285449746e+01,2.803671614550133029e+00,3.340919342665904068e+00
1.273011803603118075e+01,2.876147048285889074e+00,3.195306646458436539e+00
1.288119832541113929e+01,2.946460135521987045e+00,3.067134417714010297e+00
1.303322241768720069e+01,3.014709020332289047e+00,2.953812535399924499e+00
1.318611736190990769e+01,3.080984276591447024e+00,2.853609496920853861e+00
1.333981778802875517e+01,3.145369626462036994e+00,2.764816951801022604e+00
1.349426501163338088e+01,3.207942614779694335e+00,2.686245143519755185e+00
1.364940617195448702e+01,3.268775165626264023e+00,2.616839247573099936e+00
1.380519331025057816e+01,3.327934013420699166e+00,2.555504091336282535e+00
1.396158288506531342e+01,3.385481216356381662e+00,2.498696942051094272e+00
1.411853552531465361e+01,3.441474665930302823e+00,2.450117330000380012e+00
1.427601535226138729e+01,3.495968364894157077e+00,2.406201185845004531e+00
1.443398932235550447e+01,3.549012669585451807e+00,2.367188854038327239e+00
1.459242714381218597e+01,3.600654681877583307e+00,2.332238043110460346e+00
1.475130124511694696e+01,3.650938598218554265e+00,2.301037613257686409e+00
1.491058619180305911e+01,3.699905839747290148e+00,2.272959805199095573e+00
1.507025840019814744e+01,3.747595255051558105e+00,2.248333181697975469e+00
1.523029618331474211e+01,3.794043391865808967e+00,2.224758237503374758e+00
1.539067935449757130e+01,3.839284608302275359e+00,2.204553064816476837e+00
1.555138918323126695e+01,3.883351267959171071e+00,2.186154552323336109e+00
1.571240835232156741e+01,3.926273910549766821e+00,2.169682319069514698e+00
1.587373827313448160e+01,3.968085837063698662e+00,2.154686393161939328e+00
1.603534633836625645e+01,4.008809531338543231e+00,2.141149754558494323e+00
1.619720081679103529e+01,4.048466466043319834e+00,2.128770482498553385e+00
1.635930609647050815e+01,4.087085471546092919e+00,2.117829496006173873e+00
1.652164980203182765e+01,4.124689589945097268e+00,2.107458910810143138e+00
1.668422034625011108e+01,4.161300661388875000e+00,2.098118392598189441e+00
1.684700684166010731e+01,4.196939394898552500e+00,2.089536306628950513e+00
1.700999900317575353e+01,4.231625430687198097e+00,2.081679580181423628e+00
1.717318713000100416e+01,4.265377413261053796e+00,2.074440568416311859e+00
1.733656211025411054e+01,4.298213061649470923e+00,2.067760542629892839e+00
1.750011530790469649e+01,4.330149209711350977e+00,2.061574369097787685e+00
1.766383855378348500e+01,4.361201863338009410e+00,2.055829664967632198e+00
1.782970124938139378e+01,4.391744981298907113e+00,2.050415194079677317e+00
1.799572257624148719e+01,4.421413773029652994e+00,2.045359907698498514e+00
1.815991454351061307e+01,4.449884279992537550e+00,2.040679742611573033e+00
1.832424769898688410e+01,4.477528227040723507e+00,2.036278530767337891e+00
1.848871576292533092e+01,4.504358106742881951e+00,2.032127271889858644e+00
1.865331268555880584e+01,4.530385808107434187e+00,2.028200312433631858e+00
1.881803270207914380e+01,4.555622659325471169e+00,2.024475319149516839e+00
1.898287034609400692e+01,4.580079459864874636e+00,2.020932522021148703e+00
1.914782041710888194e+01,4.603766503027618029e+00,2.017554942260721518e+00
1.931287783829835192e+01,4.626693582028843288e+00,2.014327448203988347e+00
1.947803773845424047e+01,4.648870027365843427e+00,2.011237665454631784e+00
1.964329554176313053e+01,4.670304740795891085e+00,2.008274218194328498e+00
1.980865286678870518e+01,4.691006939317196256e+00,2.005427479736753060e+00
