x,y,stress_shear_1,stress_shear_10,stress_shear_20,stress_shear_30,stress_shear_40,stress_shear_50,stress_shear_60,stress_shear_70,stress_shear_80,stress_shear_90,stress_shear_100,stress_shear_1000,stress_shear_10000
-3.807522034485503606e-17,9.999999999999991118e-01,1.317883214122878492e-07,1.317883214123487244e-06,2.635766428247155330e-06,3.953649642375045875e-06,5.271532856494453808e-06,6.589416070619091323e-06,7.907299284748107998e-06,9.225182498858921088e-06,1.054306571298835874e-05,1.186094892711037977e-05,1.317883214123762530e-05,1.317883214123980319e-04,1.317883214124661523e-03
1.631577402750653272e-01,1.010693923282736550e+00,1.239441366072395130e-07,1.239441366072403812e-06,2.478882732144803389e-06,3.718324098217610813e-06,4.957765464289629649e-06,6.197206830362117741e-06,7.436648196435094571e-06,8.676089562506636527e-06,9.915530928579250827e-06,1.115497229465154325e-05,1.239441366072430494e-05,1.239441366072460953e-04,1.239441366072481770e-03
3.235238063781525342e-01,1.042592717138664193e+00,1.281263667991306098e-07,1.281263667990613860e-06,2.562527335981034173e-06,3.843791003967414986e-06,5.125054671961940444e-06,6.406318339951419280e-06,7.687582007936864546e-06,8.968845675940255051e-06,1.025010934392450092e-05,1.153137301191655473e-05,1.281263667990359581e-05,1.281263667990172387e-04,1.281263667989428895e-03
4.783542904563644060e-01,1.095150584360891743e+00,1.372197635092050739e-07,1.372197635090840011e-06,2.744395270181335704e-06,4.116592905264508584e-06,5.488790540362444402e-06,6.860988175451244970e-06,8.233185810532637388e-06,9.605383445646381382e-06,1.097758108072599164e-05,1.234977871581940007e-05,1.372197635090373338e-05,1.372197635090023615e-04,1.372197635088714604e-03
6.250000000000027756e-01,1.167468245269452698e+00,1.527953685082717790e-07,1.527953685081037595e-06,3.055907370161602545e-06,4.583861055231873716e-06,6.111814740322865430e-06,7.639768425401052547e-06,9.167722110468846570e-06,1.069567579558183658e-05,1.222362948064730465e-05,1.375158316573190889e-05,1.527953685080380594e-05,1.527953685079895345e-04,1.527953685078072259e-03
7.609517862609025407e-01,1.258308324635956987e+00,1.746661861422672272e-07,1.746661861420649875e-06,3.493323722840728426e-06,5.239985584248367875e-06,6.986647445681046889e-06,8.733309307098252304e-06,1.047997116850289029e-05,1.222663302996211616e-05,1.397329489136398266e-05,1.571995675278897993e-05,1.746661861419856120e-05,1.746661861419264417e-04,1.746661861417069450e-03
8.838834764831853263e-01,1.366116523516816006e+00,2.039267924115833512e-07,2.039267924113549222e-06,4.078535848226455547e-06,6.117803772325338394e-06,8.157071696452470637e-06,1.019633962056212351e-05,1.223560754465757164e-05,1.427487546881461261e-05,1.631414339290704530e-05,1.835341131702542770e-05,2.039267924112650351e-05,2.039267924111992105e-04,2.039267924109509390e-03
9.916916753640443449e-01,1.489048213739099458e+00,2.420025777783536107e-07,2.420025777781066371e-06,4.840051555561439869e-06,7.260077333326676042e-06,9.680103111122381683e-06,1.210012888889926795e-05,1.452015466666085002e-05,1.694018044448886658e-05,1.936020622224703003e-05,2.178023200003349115e-05,2.420025777780094824e-05,2.420025777779392668e-04,2.420025777776716423e-03
1.082531754730547968e+00,1.625000000000000000e+00,2.923216102445285950e-07,2.923216102442675077e-06,5.846432204884622552e-06,8.769648307310708488e-06,1.169286440976874027e-05,1.461608051220705821e-05,1.753929661462922323e-05,2.046251271712112109e-05,2.338572881953997082e-05,2.630894492198791105e-05,2.923216102441638986e-05,2.923216102440922464e-04,2.923216102438101587e-03
1.154849415639108035e+00,1.771645709543637759e+00,3.598331460809282711e-07,3.598331460806600369e-06,7.196662921612446032e-06,1.079499438240203586e-05,1.439332584322436690e-05,1.799165730402650299e-05,2.158998876481210837e-05,2.518832022566925755e-05,2.878665168645122747e-05,3.238498314726346358e-05,3.598331460805550641e-05,3.598331460804804439e-04,3.598331460801907234e-03
