height, length, velocity, file
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 11000,stress_height5.00_length15.00_velocity11000.00
5.0, 15.0, 12000,stress_height5.00_length15.00_velocity12000.00
5.0, 16.0, 10000,stress_height5.00_length16.00_velocity10000.00
5.0, 16.0, 11000,stress_height5.00_length16.00_velocity11000.00
5.0, 16.0, 12000,stress_height5.00_length16.00_velocity12000.00
5.0, 17.0, 10000,stress_height5.00_length17.00_velocity10000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 11000,stress_height5.00_length15.00_velocity11000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 11000,stress_height5.00_length15.00_velocity11000.00
5.0, 15.0, 12000,stress_height5.00_length15.00_velocity12000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 11000,stress_height5.00_length15.00_velocity11000.00
5.0, 15.0, 12000,stress_height5.00_length15.00_velocity12000.00
5.0, 16.0, 10000,stress_height5.00_length16.00_velocity10000.00
5.0, 16.0, 11000,stress_height5.00_length16.00_velocity11000.00
5.0, 16.0, 12000,stress_height5.00_length16.00_velocity12000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 11000,stress_height5.00_length15.00_velocity11000.00
5.0, 15.0, 12000,stress_height5.00_length15.00_velocity12000.00
5.0, 16.0, 10000,stress_height5.00_length16.00_velocity10000.00
5.0, 16.0, 11000,stress_height5.00_length16.00_velocity11000.00
5.0, 16.0, 12000,stress_height5.00_length16.00_velocity12000.00
5.0, 17.0, 10000,stress_height5.00_length17.00_velocity10000.00
5.0, 17.0, 11000,stress_height5.00_length17.00_velocity11000.00
5.0, 17.0, 12000,stress_height5.00_length17.00_velocity12000.00
5.0, 18.0, 10000,stress_height5.00_length18.00_velocity10000.00
5.0, 18.0, 11000,stress_height5.00_length18.00_velocity11000.00
5.0, 18.0, 12000,stress_height5.00_length18.00_velocity12000.00
5.0, 19.0, 10000,stress_height5.00_length19.00_velocity10000.00
5.0, 19.0, 11000,stress_height5.00_length19.00_velocity11000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
5.0, 15.0, 11000,stress_height5.00_length15.00_velocity11000.00
5.0, 15.0, 12000,stress_height5.00_length15.00_velocity12000.00
5.0, 16.0, 10000,stress_height5.00_length16.00_velocity10000.00
5.0, 16.0, 11000,stress_height5.00_length16.00_velocity11000.00
5.0, 16.0, 12000,stress_height5.00_length16.00_velocity12000.00
5.0, 17.0, 10000,stress_height5.00_length17.00_velocity10000.00
5.0, 17.0, 11000,stress_height5.00_length17.00_velocity11000.00
5.0, 17.0, 12000,stress_height5.00_length17.00_velocity12000.00
5.0, 18.0, 10000,stress_height5.00_length18.00_velocity10000.00
5.0, 18.0, 11000,stress_height5.00_length18.00_velocity11000.00
5.0, 18.0, 12000,stress_height5.00_length18.00_velocity12000.00
5.0, 19.0, 10000,stress_height5.00_length19.00_velocity10000.00
5.0, 19.0, 11000,stress_height5.00_length19.00_velocity11000.00
5.0, 19.0, 12000,stress_height5.00_length19.00_velocity12000.00
5.0, 20.0, 10000,stress_height5.00_length20.00_velocity10000.00
5.0, 20.0, 11000,stress_height5.00_length20.00_velocity11000.00
5.0, 15.0, 10000,stress_height5.00_length15.00_velocity10000.00
