x,y,stress_mag
-3.110267511454542148e-17,9.999999999999991118e-01,1.431088441724905904e-04
1.334515189059450047e-01,1.083751840982209114e+00,7.591678973279487527e-05
2.671681886781132609e-01,1.167079441785279892e+00,1.116604267973243412e-04
4.014144544250387581e-01,1.249550595755330340e+00,1.171993137612732162e-04
5.364530050678683049e-01,1.330717131682879195e+00,1.292728445453504744e-04
6.725430243591309365e-01,1.410106879385656375e+00,1.389160845990531008e-04
8.099373324234286908e-01,1.487215741063216745e+00,1.489487199082267115e-04
9.488778948201294083e-01,1.561500113788794497e+00,1.588337568850647843e-04
1.089589170818369146e+00,1.632370217880076080e+00,1.687812935990299441e-04
1.232268778429450151e+00,1.699185288771410951e+00,1.787332886529076857e-04
1.377074950532030106e+00,1.761252024290211216e+00,1.885445498352532443e-04
1.524110687384193863e+00,1.817828292548215208e+00,1.980642399596845482e-04
1.673405146629034723e+00,1.868134589562804981e+00,2.070370092556383056e-04
1.824893961210364512e+00,1.911375854130801688e+00,2.152253267536723374e-04
1.978401700518020112e+00,1.946775518602248622e+00,2.222776414587288528e-04
2.133631231933767580e+00,1.973621622939247588e+00,2.279516427428466576e-04
2.290165445542891920e+00,1.991321298926868266e+00,2.318896503801820444e-04
2.447485630086669417e+00,1.999455688744734339e+00,2.339577478121026839e-04
2.605007167131876855e+00,1.997824244365557167e+00,2.339592942180224232e-04
2.762127966041091565e+00,1.986467607767643972e+00,2.319894776629500643e-04
2.918280474727773299e+00,1.965662887565217343e+00,2.281030329638304851e-04
3.072976696883597203e+00,1.935892636564237712e+00,2.226019172337044137e-04
3.225838352794926589e+00,1.897795709725839108e+00,2.156571091211387052e-04
3.376609405174974210e+00,1.852111366770790690e+00,2.080947268755510180e-04
3.525153081311934944e+00,1.799626903902892261e+00,1.984185541546000390e-04
3.671438329489074892e+00,1.741135352419699744e+00,1.891570730779886661e-04
3.815521105366586063e+00,1.677405620988865920e+00,1.799120857994917870e-04
3.957524770997900010e+00,1.609164401575156722e+00,1.705084619812040933e-04
4.097622290384610011e+00,1.537087588194756105e+00,1.611211071809343933e-04
4.236021460761903334e+00,1.461798578340133714e+00,1.518636418143373733e-04
4.372953471743450393e+00,1.383871107450151516e+00,1.428002232648926592e-04
4.508664516758387641e+00,1.303834816374150218e+00,1.339712681512629218e-04
4.643409947431149654e+00,1.222182292174517793e+00,1.254068435541757555e-04
4.777450377006673854e+00,1.139376808626854976e+00,1.171170243998851719e-04
4.911049228203816952e+00,1.055860326516752545e+00,1.091094871787622858e-04
5.044471273278807288e+00,9.720615107860293147e-01,1.013806160759669157e-04
5.177981734659538482e+00,8.884037169428414815e-01,9.392889566883205602e-05
5.311845614057099318e+00,8.053129566866733535e-01,8.674583166455250279e-05
5.446326915454887008e+00,7.232258647767908499e-01,7.982487018186696585e-05
5.581687405401383195e+00,6.425977185626036148e-01,7.315711399161857129e-05
5.718184533769621325e+00,5.639104601281810236e-01,6.673304123017007516e-05
5.856068088835425733e+00,4.876805472581287049e-01,6.054780399869012878e-05
5.995575058313532324e+00,4.144663038592386606e-01,5.458738984797284390e-05
6.136922149388166936e+00,3.448740944693876043e-01,4.884718266332720117e-05
6.280295409484497604e+00,2.795622368755000253e-01,4.331461798932449432e-05
6.425836578040915903e+00,2.192410495143999050e-01,3.798139366173737780e-05
6.573626208382442826e+00,1.646668555849530868e-01,3.284312758316427236e-05
6.723664447393843169e+00,1.166273472366867875e-01,2.789955462299202848e-05
6.875851624312663724e+00,7.591583219944683658e-02,2.315902286830266271e-05
7.029972423040540264e+00,4.329299591441796574e-02,1.865406552166199396e-05
7.185688768962243955e+00,1.943737864764449527e-02,1.447675236044372077e-05
7.342546753012382688e+00,4.889665218676605106e-03,1.087960539922879353e-05
7.500000951050233233e+00,8.563133021029617756e-10,8.521760757788135500e-06
7.660538395959076929e+00,5.082990998571889144e-03,8.489855562492203405e-06
7.820444402444074683e+00,2.020075314863329502e-02,1.089091787308064105e-05
7.979143358906113370e+00,4.497571707844635891e-02,1.462434660393991992e-05
8.136159825830757697e+00,7.882650846866146033e-02,1.899112978197719617e-05
