x,y,stress_mag
-3.039167429680692361e-17,-5.535139287685315041e-17,3.079920071969619033e-02
1.307308831355680490e-01,1.026181358626458706e-01,1.537794253683392488e-02
2.614714798982011312e-01,2.052238953138237898e-01,2.442971129109341305e-02
3.895610010032566906e-01,3.056835210675944992e-01,2.556094498349092622e-02
5.177040238985168852e-01,4.060748901913893705e-01,2.801072063501023127e-02
6.459223474455890734e-01,5.063700645994622107e-01,2.902411746035256368e-02
7.742377078099983434e-01,6.065410577388147262e-01,2.946978184035006429e-02
9.026717620208950521e-01,7.065598173840759166e-01,2.910940675152340340e-02
1.031246070801670855e+00,8.063982084650360704e-01,2.804320418298810597e-02
1.159981983403748584e+00,9.060281273430211835e-01,2.630017498041542501e-02
1.288900055536076561e+00,1.005422216361004484e+00,2.393440415675915367e-02
1.418020424467744567e+00,1.104553347717491141e+00,2.102269450388312422e-02
1.547363071333834661e+00,1.203394273049840590e+00,1.767983513180035673e-02
1.676947794033589068e+00,1.301917604483145530e+00,1.410083498981990618e-02
1.806794187347711134e+00,1.400095804195856664e+00,1.072784856161226354e-02
1.936921627343309416e+00,1.497901178587296878e+00,8.633022007888686844e-03
2.067349251277114774e+00,1.595305870453573416e+00,9.449682878650521312e-03
2.198096154986332706e+00,1.692281557542812509e+00,1.302972844185945958e-02
2.329183319657367690e+00,1.788796779994879405e+00,1.799931562070662683e-02
2.460632653945448833e+00,1.884818137969899388e+00,2.362842429671841230e-02
2.592465727211436199e+00,1.980311934220347236e+00,2.961909237976199580e-02
2.724703724422371298e+00,2.075244180834489249e+00,3.582987619744825575e-02
2.857367419762109950e+00,2.169580591693732519e+00,4.218040600311042526e-02
2.990477142923565701e+00,2.263286572890380821e+00,4.861669712068455995e-02
3.124052747755818427e+00,2.356327218284670622e+00,5.510073979555975970e-02
3.258113856784380147e+00,2.448666902969297343e+00,6.160326415041596226e-02
3.392681977116268843e+00,2.540266096861514278e+00,6.810079238375128796e-02
3.527779271277752482e+00,2.631082973378220391e+00,7.457514691385182248e-02
3.663427252691046743e+00,2.721075202452738484e+00,8.101213690991029837e-02
