x,y,stress_mag
-2.952380356458459451e-17,4.999999999999997335e+00,5.357178046778941077e-02
1.249999999999999584e-01,5.031249999999997335e+00,4.365549729120062755e-02
2.499999999999998612e-01,5.062499999999997335e+00,6.966571670122184701e-02
3.749999999999998335e-01,5.093749999999997335e+00,8.567994280751670133e-02
4.999999999999995559e-01,5.124999999999997335e+00,9.829078641179951614e-02
6.249999999999996669e-01,5.156249999999997335e+00,1.228051198377050901e-01
7.499999999999994449e-01,5.187499999999996447e+00,1.064827655294182385e-01
8.749999999999997780e-01,5.218749999999997335e+00,3.411859734464576244e-01
9.999999999999991118e-01,4.249999999999997335e+00,1.035266111467768035e-01
9.999999999999991118e-01,4.624999999999997335e+00,1.498718763391392317e-01
9.999999999999991118e-01,5.124999999999997335e+00,4.868065167256423464e-01
9.999999999999991118e-01,5.249999999999997335e+00,4.172365178057771407e-01
9.999999999999991118e-01,4.749999999999997335e+00,1.649151221732843009e-01
9.999999999999992228e-01,4.874999999999996447e+00,2.082603282912976750e-01
9.999999999999992228e-01,4.499999999999996447e+00,1.358642376963254128e-01
9.999999999999992228e-01,4.374999999999996447e+00,1.472826081086945904e-01
9.999999999999992228e-01,4.999999999999996447e+00,2.219410407039931754e-01
1.163632328300421737e+00,4.258930625661985658e+00,1.453974827198219744e-01
1.327273022064276331e+00,4.267706631788739990e+00,1.287197263671749914e-01
1.490921928489381321e+00,4.276327984064185905e+00,1.154449785062362233e-01
1.654578910814347603e+00,4.284794649571756153e+00,9.479084419744177037e-02
1.818243822180759084e+00,4.293106595403400227e+00,7.561528593872421378e-02
1.981916519481477401e+00,4.301263789391139625e+00,5.916581787132609016e-02
2.145596864967265649e+00,4.309266200167169103e+00,4.673697973977945092e-02
2.309284706033099432e+00,4.317113796179022245e+00,3.850969902501522046e-02
2.472979890398194325e+00,4.324806546466269275e+00,3.423587881631892649e-02
2.636682279611313184e+00,4.332344421274528123e+00,3.311833920938550557e-02
2.800391730672672441e+00,4.339727391169886594e+00,3.403453961336370265e-02
2.964108095487619110e+00,4.346955427036680142e+00,3.601951691386730270e-02
3.127831230973389776e+00,4.354028500533572377e+00,3.838291589265342002e-02
3.291560988768254425e+00,4.360946583639924157e+00,4.080926811652647868e-02
3.455297217075318006e+00,4.367709648756192387e+00,4.316059922579297548e-02
3.619039775909536072e+00,4.374317669328376290e+00,4.539389780773835092e-02
3.782788524552275877e+00,4.380770619303647528e+00,4.742417096355287798e-02
3.946543311617641159e+00,4.387068472756567417e+00,4.928131570001598183e-02
4.110303990317015987e+00,4.393211204505101719e+00,5.098108196058082769e-02
4.274070415023937919e+00,4.399198789964915868e+00,5.258395801125462232e-02
4.437842434401795266e+00,4.405031204902457809e+00,5.404404474305270212e-02
4.601619907075146010e+00,4.410708425997917459e+00,5.540506305008258831e-02
4.765402693357857267e+00,4.416230430523072847e+00,5.667310561516034767e-02
4.929190639941549712e+00,4.421597195838898209e+00,5.790741706830716817e-02
5.092983597645308613e+00,4.426808700016600540e+00,5.904391572908027769e-02
5.256781422385171432e+00,4.431864921847559202e+00,6.014700157306725192e-02
5.420583963274141936e+00,4.436765840468821054e+00,6.112235735661730729e-02
5.584391077678042770e+00,4.441511435824473608e+00,6.207973464412666620e-02
5.748202625984982994e+00,4.446101688482455572e+00,6.284226155413026593e-02
5.912018454043624693e+00,4.450536579153178351e+00,6.356625782679665992e-02
6.075838411316424548e+00,4.454816089224183706e+00,6.407498427605702596e-02
6.239662354348028295e+00,4.458940200828727107e+00,6.454963632655702499e-02
6.403490133224964076e+00,4.462908896490637822e+00,6.485165876508179605e-02
