x,y,stress_mag
8.999999999999994671e+00,1.135096739797590369e-13,1.506983837594736713e+02
9.008753574229249494e+00,1.653706036459652307e-01,1.882533276301943559e+01
9.034661616393496075e+00,3.289380250300225073e-01,1.700044120860051322e+01
9.076739595217659939e+00,4.891177166803717391e-01,6.722179912992102047e+00
9.133557706515553321e+00,6.446905255873128793e-01,5.830748809496690832e+00
9.203464548040413362e+00,7.948483858833808036e-01,3.921580163334911440e+00
9.284779647154083548e+00,9.391573507368902174e-01,3.235631870803624466e+00
9.375922939236815523e+00,1.077477885473733688e+00,2.603187639819047661e+00
9.475482156221714192e+00,1.209877387504172841e+00,2.173956185370553573e+00
9.582234768312252626e+00,1.336554691516259608e+00,1.842453920933414979e+00
9.695142726596563065e+00,1.457782986060769170e+00,1.587219858299585340e+00
9.813333977051572177e+00,1.573870350945200558e+00,1.384620815881188127e+00
9.936079671984561656e+00,1.685134463269090110e+00,1.221630665438149910e+00
1.006277117724816250e+01,1.791886965231673123e+00,1.088324852748733695e+00
1.019289931389016957e+01,1.894424623839845445e+00,9.781136739945753833e-01
1.032603689117000911e+01,1.993025110206035011e+00,8.859282635467721212e-01
1.046182397583111090e+01,2.087945262446492034e+00,8.082086745926327920e-01
1.059995580744262433e+01,2.179420957098849865e+00,7.421145027482622947e-01
1.074017303451534566e+01,2.267667934848040190e+00,6.855787292790866960e-01
1.088225257157514392e+01,2.352882365213270877e+00,6.368313307201083351e-01
1.102600479582777737e+01,2.435244510025744269e+00,5.946402655985023600e-01
1.117126701271208233e+01,2.514919232641180002e+00,5.578917152118190170e-01
1.131789375655788987e+01,2.592054580361776051e+00,5.259190052208496668e-01
1.146575927199645406e+01,2.666786600590837164e+00,4.980540638033623124e-01
1.161475456556202523e+01,2.739240397457697096e+00,4.736531118220412284e-01
1.176478271531933295e+01,2.809530088657409053e+00,4.509608326138405676e-01
1.191575860553856536e+01,2.877760684248576784e+00,4.323840606270171749e-01
1.206760634006708344e+01,2.944028553443217344e+00,4.156787033585555013e-01
