x,y,stress_mag
-3.807522034485503606e-17,9.999999999999991118e-01,1.976824821184866060e-07
1.631577402750653272e-01,1.010693923282736550e+00,1.859162049108588195e-07
3.235238063781525342e-01,1.042592717138664193e+00,1.921895501986319637e-07
4.783542904563644060e-01,1.095150584360891743e+00,2.058296452636965172e-07
6.250000000000027756e-01,1.167468245269452698e+00,2.291930527622530586e-07
7.609517862609025407e-01,1.258308324635956987e+00,2.619992792132151553e-07
8.838834764831853263e-01,1.366116523516816006e+00,3.058901886171650287e-07
9.916916753640443449e-01,1.489048213739099458e+00,3.630038666673042583e-07
1.082531754730547968e+00,1.625000000000000000e+00,4.384824153665519381e-07
1.154849415639108035e+00,1.771645709543637759e+00,5.397497191211455495e-07
1.207407282861334696e+00,1.926476193621848187e+00,6.843884928984886486e-07
1.239306076717262339e+00,2.086842259724933868e+00,8.985095364737274497e-07
1.249999999999999112e+00,3.270833333333331261e+00,8.380809922971408377e-06
1.249999999999999112e+00,2.541666666666664298e+00,2.210445481389202073e-06
1.249999999999999112e+00,2.687499999999997780e+00,2.864571201438694559e-06
1.249999999999999112e+00,3.124999999999997780e+00,6.378331350511538437e-06
1.249999999999999112e+00,3.854166666666664742e+00,2.530989181839680475e-05
1.249999999999999112e+00,3.708333333333330817e+00,1.917769907934379706e-05
1.249999999999999334e+00,2.249999999999998668e+00,1.293879520547148604e-06
1.249999999999999334e+00,3.416666666666665630e+00,1.102952051439080121e-05
1.249999999999999334e+00,2.833333333333332149e+00,3.725372965921332158e-06
1.249999999999999334e+00,2.979166666666665186e+00,4.866013289073649416e-06
1.249999999999999334e+00,3.562499999999998668e+00,1.452186953513309086e-05
1.249999999999999334e+00,2.395833333333332149e+00,1.711602774455604786e-06
1.249999999999999334e+00,3.999999999999996447e+00,3.431622351489330863e-05
1.260693923282736106e+00,4.163157740275061691e+00,5.193274514259114055e-05
1.292592717138663305e+00,4.323523806378147150e+00,7.358210826284703918e-05
1.345150584360890189e+00,4.478354290456358022e+00,9.991661900234921211e-05
1.417468245269450478e+00,4.624999999999996447e+00,1.295429517761281671e-04
1.508308324635954767e+00,4.760951786260897656e+00,1.636163094765374687e-04
1.616116523516813119e+00,4.883883476483179109e+00,1.937862659140077637e-04
1.739048213739095905e+00,4.991691675364038794e+00,2.229307139273619797e-04
1.874999999999996891e+00,5.082531754730544193e+00,2.480489029194759025e-04
2.021645709543632652e+00,5.154849415639104038e+00,2.689983941730698914e-04
2.176476193621843080e+00,5.207407282861330700e+00,2.832962170845443437e-04
2.336842259724928095e+00,5.239306076717259231e+00,2.938165642831693110e-04
2.499999999999992895e+00,5.249999999999997335e+00,2.922433735377501837e-04
2.663157740275057250e+00,5.239306076717261007e+00,2.994220003303787168e-04
2.823523806378142709e+00,5.207407282861333364e+00,2.871102999742912096e-04
2.978354290456353137e+00,5.154849415639107590e+00,2.738769737243724458e-04
3.124999999999992006e+00,5.082531754730549522e+00,2.473161149046152569e-04
3.260951786260894103e+00,4.991691675364045899e+00,2.229797815953638094e-04
3.383883476483178221e+00,4.883883476483184438e+00,1.936690923215602191e-04
3.491691675364038794e+00,4.760951786260901208e+00,1.639976271036674245e-04
3.582531754730545082e+00,4.625000000000000888e+00,1.308412977423074289e-04
3.654849415639106258e+00,4.478354290456362463e+00,1.000203981229115177e-04
3.707407282861332920e+00,4.323523806378149814e+00,7.405615031679243046e-05
3.739306076717260563e+00,4.163157740275062579e+00,5.221882046091076604e-05
3.749999999999997780e+00,2.541666666666665186e+00,2.177929117592499965e-06
3.749999999999997780e+00,2.979166666666664298e+00,4.822286452739427534e-06
3.749999999999997780e+00,3.708333333333331261e+00,1.924372858256771600e-05
3.749999999999997780e+00,3.124999999999997780e+00,6.338732180077971318e-06
3.749999999999997780e+00,3.562499999999997780e+00,1.454486512761203010e-05
3.749999999999997780e+00,2.395833333333331261e+00,1.686984304384346631e-06
3.749999999999998668e+00,2.833333333333331705e+00,3.682320223736298288e-06
3.749999999999998668e+00,3.416666666666665186e+00,1.101918386311399275e-05
3.749999999999998668e+00,2.249999999999998668e+00,1.278468161655297443e-06
3.749999999999998668e+00,2.687499999999998668e+00,2.825925860086958220e-06
3.749999999999998668e+00,3.854166666666665186e+00,2.546546289113973643e-05
3.749999999999998668e+00,3.999999999999998224e+00,3.457698868970561512e-05
3.749999999999998668e+00,3.270833333333332149e+00,8.351960673504730626e-06
3.760693923282735884e+00,2.086842259724932980e+00,8.918073037616817785e-07
3.792592717138662639e+00,1.926476193621845967e+00,6.795202293211130717e-07
3.845150584360890189e+00,1.771645709543633984e+00,5.364210663393747989e-07
3.917468245269450922e+00,1.624999999999996003e+00,4.350022251029386853e-07
4.008308324635955877e+00,1.489048213739095461e+00,3.583550226264014403e-07
4.116116523516813785e+00,1.366116523516812675e+00,2.992853078831486833e-07
4.239048213739097015e+00,1.258308324635953879e+00,2.524679323620073227e-07
4.374999999999998224e+00,1.167468245269450478e+00,2.157816724482874699e-07
4.521645709543635760e+00,1.095150584360890411e+00,1.880895553273657263e-07
4.676476193621845745e+00,1.042592717138663527e+00,1.690081889750828560e-07
4.836842259724932092e+00,1.010693923282735884e+00,1.586790046385082610e-07
4.999999999999997335e+00,9.999999999999991118e-01,1.574756937814336053e-07
5.163157740275062579e+00,1.010693923282736550e+00,1.649853217422875207e-07
5.323523806378148038e+00,1.042592717138664193e+00,1.807590950348862014e-07
5.478354290456362463e+00,1.095150584360891965e+00,2.037295741516979645e-07
5.625000000000000888e+00,1.167468245269452698e+00,2.341348700429695348e-07
5.760951786260900320e+00,1.258308324635956987e+00,2.723225404188455584e-07
5.883883476483183550e+00,1.366116523516816450e+00,3.198380912105319921e-07
5.991691675364042347e+00,1.489048213739099902e+00,3.793917759736493822e-07
6.082531754730545970e+00,1.625000000000000000e+00,4.553769163979319245e-07
6.154849415639104926e+00,1.771645709543637537e+00,5.550445885483871750e-07
6.207407282861332476e+00,1.926476193621848632e+00,6.956346740864039817e-07
6.239306076717260119e+00,2.086842259724934312e+00,9.004135665198912132e-07
6.249999999999996447e+00,3.708333333333331261e+00,1.912873676274649826e-05
6.249999999999996447e+00,2.395833333333332149e+00,1.695523995952235727e-06
6.249999999999996447e+00,3.124999999999998668e+00,6.322120453605777182e-06
6.249999999999996447e+00,3.562499999999998224e+00,1.446728856548888569e-05
6.249999999999996447e+00,2.541666666666665186e+00,2.186128324278679303e-06
6.249999999999996447e+00,2.979166666666665186e+00,4.815483282352109921e-06
6.249999999999997335e+00,2.833333333333332149e+00,3.682898661545614622e-06
6.249999999999997335e+00,3.416666666666665630e+00,1.097164010227865362e-05
6.249999999999997335e+00,3.999999999999998668e+00,3.429502592714837053e-05
6.249999999999997335e+00,3.854166666666665630e+00,2.526152611168817514e-05
6.249999999999997335e+00,3.270833333333332149e+00,8.321928792165416368e-06
6.249999999999997335e+00,2.249999999999998668e+00,1.286642000503345717e-06
6.249999999999997335e+00,2.687499999999998668e+00,2.830835383796668993e-06
6.260693923282733664e+00,4.163157740275061691e+00,5.208249077901038160e-05
6.292592717138660419e+00,4.323523806378148038e+00,7.380871697306300053e-05
6.345150584360888857e+00,4.478354290456358910e+00,1.002442438031505716e-04
6.417468245269448701e+00,4.624999999999996447e+00,1.296485362392801963e-04
6.508308324635951436e+00,4.760951786260897656e+00,1.631531353300021700e-04
6.616116523516810233e+00,4.883883476483179997e+00,1.936656143015744083e-04
6.739048213739094351e+00,4.991691675364039682e+00,2.230931620926353482e-04
6.874999999999994671e+00,5.082531754730544193e+00,2.486083110075658809e-04
7.021645709543630431e+00,5.154849415639104038e+00,2.699884390845928264e-04
7.176476193621841304e+00,5.207407282861331588e+00,2.844884232093561273e-04
7.336842259724927651e+00,5.239306076717260119e+00,2.954225231323608265e-04
7.499999999999991118e+00,5.249999999999997335e+00,2.936138205157750843e-04
7.663157740275055474e+00,5.239306076717261007e+00,2.978997933932873358e-04
7.823523806378141821e+00,5.207407282861334252e+00,2.853667761360706738e-04
7.978354290456350917e+00,5.154849415639108479e+00,2.702618819566898018e-04
8.124999999999987566e+00,5.082531754730549522e+00,2.486608494277517097e-04
8.260951786260889662e+00,4.991691675364045899e+00,2.230491165448887148e-04
8.383883476483175556e+00,4.883883476483185326e+00,1.937288373266049697e-04
8.491691675364036129e+00,4.760951786260902097e+00,1.633511419281614724e-04
8.582531754730540641e+00,4.625000000000000888e+00,1.298677818377789615e-04
8.654849415639102261e+00,4.478354290456362463e+00,1.001534905001350305e-04
8.707407282861328923e+00,4.323523806378150702e+00,7.387296130054304684e-05
8.739306076717257454e+00,4.163157740275063468e+00,5.208987021930650864e-05
8.749999999999994671e+00,2.833333333333331705e+00,3.682884719706441227e-06
8.749999999999994671e+00,2.687499999999998668e+00,2.829460915667851985e-06
8.749999999999994671e+00,2.541666666666665630e+00,2.183859350908882969e-06
8.749999999999994671e+00,2.395833333333331705e+00,1.693984392568774077e-06
8.749999999999994671e+00,3.708333333333331705e+00,1.916746958939355902e-05
8.749999999999994671e+00,3.854166666666664298e+00,2.533191539329758207e-05
8.749999999999994671e+00,3.999999999999996447e+00,3.439640786419315783e-05
8.749999999999994671e+00,2.249999999999998668e+00,1.286372946470200473e-06
8.749999999999994671e+00,3.562499999999998668e+00,1.449576820014372459e-05
8.749999999999994671e+00,3.416666666666665186e+00,1.099039180827461632e-05
8.749999999999994671e+00,2.979166666666665186e+00,4.818531985057900621e-06
8.749999999999994671e+00,3.270833333333331705e+00,8.334297358767932699e-06
8.749999999999994671e+00,3.124999999999998224e+00,6.329208158601603089e-06
8.760693923282731888e+00,2.086842259724932980e+00,9.010520593730732161e-07
8.792592717138660419e+00,1.926476193621845523e+00,6.907365105132823742e-07
8.845150584360887080e+00,1.771645709543634428e+00,5.474513354165542009e-07
8.917468245269448701e+00,1.624999999999996003e+00,4.461238151719646246e-07
9.008308324635953213e+00,1.489048213739095239e+00,3.694624922007943627e-07
9.116116523516812009e+00,1.366116523516812897e+00,3.099858666874815043e-07
9.239048213739096127e+00,1.258308324635954101e+00,2.625796504517800708e-07
9.374999999999996447e+00,1.167468245269450478e+00,2.248813353950219525e-07
9.521645709543633984e+00,1.095150584360890411e+00,1.953973899550119075e-07
9.676476193621844857e+00,1.042592717138663749e+00,1.739541738702809471e-07
9.836842259724930315e+00,1.010693923282736106e+00,1.606929186877654633e-07
9.999999999999994671e+00,9.999999999999991118e-01,1.564121688398270910e-07
