x,y,stress_mag
-5.782156155557688095e-17,4.999999999999997335e+00,5.677275488078469684e-02
2.453169692987089701e-01,5.032165183172768508e+00,4.576906239843640117e-02
4.907709614263575659e-01,5.063267496150498204e+00,5.631116206849213351e-02
7.089428188817911147e-01,5.090014411508236414e+00,6.009889217686504442e-02
9.272143050203290882e-01,5.115935756879681051e+00,6.383171277130823829e-02
1.121205876685636316e+00,5.138276798756870711e+00,6.544078345188987511e-02
1.315270307007904371e+00,5.159975864056686845e+00,6.664609179816263773e-02
1.487786598560105533e+00,5.178723931853045137e+00,6.721268574872443780e-02
1.660356504062150185e+00,5.196971915345616644e+00,6.771517737947356508e-02
1.824338061192670501e+00,5.213846497661710266e+00,6.831401136533411800e-02
1.988364848005431895e+00,5.230275619338021542e+00,6.891531168089683190e-02
2.152435361435270256e+00,5.246262154221708940e+00,6.967763084632533355e-02
2.316548122912969188e+00,5.261809000153545135e+00,7.044476758817704021e-02
2.480701672822110737e+00,5.276919077840987349e+00,7.103674024559028521e-02
2.644894578307168675e+00,5.291595331001728297e+00,7.159624126390844168e-02
2.809125425370139428e+00,5.305840725046587103e+00,7.187499455585605324e-02
2.973392825317518806e+00,5.319658247082045932e+00,7.217215241308343188e-02
3.137695409793304080e+00,5.333050904901802447e+00,7.224041383692988982e-02
3.302031834698291313e+00,5.346021726751953196e+00,7.235179724884685526e-02
3.466401303114547527e+00,5.358573800013746613e+00,7.253119938123667176e-02
3.630801990236764087e+00,5.370710149721404036e+00,7.282059815020780480e-02
3.805329535949216080e+00,5.383140316236990408e+00,7.315772190014928344e-02
3.979889314395471445e+00,5.395109330188076591e+00,7.358596859391429434e-02
4.151211344591257735e+00,5.406409613749878496e+00,7.413239832089905945e-02
4.322561634061359293e+00,5.417272992734802450e+00,7.475809912708024363e-02
4.487104200964071588e+00,5.427295358889812071e+00,7.533403310192111901e-02
4.651670427840549848e+00,5.436921434549756960e+00,7.600235372283699331e-02
4.816259178562628307e+00,5.446154409327093049e+00,7.662177143392920331e-02
4.980869338837490723e+00,5.454997487660949496e+00,7.727851328281729049e-02
5.145499817490326144e+00,5.463453888393639879e+00,7.784958986668544245e-02
5.310149545123322490e+00,5.471526844210048424e+00,7.856058673217064525e-02
5.474817475783335219e+00,5.479219601239438298e+00,7.921384055671654156e-02
5.639502584172578104e+00,5.486535418447895829e+00,7.992127534464077421e-02
5.804203868142075784e+00,5.493477567292260666e+00,8.062139252888726737e-02
5.968920347270587179e+00,5.500049331194859725e+00,8.143650126522024302e-02
6.133768607803989248e+00,5.506258302036889596e+00,8.194403782868911468e-02
6.298630187187147733e+00,5.512102971971519771e+00,8.244881790953401124e-02
6.474943478313370804e+00,5.517953814852886829e+00,8.271693795256086779e-02
6.651269859299310028e+00,5.523395932010362941e+00,8.305984949956887742e-02
6.821088629038560391e+00,5.528254327984227778e+00,8.305144113801452010e-02
6.990917623914477907e+00,5.532741119202015945e+00,8.309638208824683681e-02
7.155716569640375724e+00,5.536743031306922802e+00,8.305295772784068720e-02
7.320523489328454758e+00,5.540401887616102528e+00,8.305450752314789964e-02
7.485337600667372193e+00,5.543721061456047039e+00,8.270833685254116996e-02
7.650158142087946977e+00,5.546703933858212920e+00,8.238869017437516762e-02
7.814984372770143572e+00,5.549353893188219367e+00,8.180700235320791103e-02
7.979815572315096084e+00,5.551674334776925512e+00,8.124559346568104024e-02
8.144651040763235983e+00,5.553668660565618254e+00,8.047428615469980062e-02
8.309490098241663958e+00,5.555340278753869931e+00,7.980337292481164135e-02
8.474332084987141300e+00,5.556692603460487767e+00,7.931576657342667702e-02
8.639176360975721281e+00,5.557729054388312662e+00,7.894515029302852371e-02
8.804520351538187128e+00,5.558454773951708283e+00,7.877911801811265935e-02
8.969865414876961651e+00,5.558869614962253181e+00,7.874845373305414120e-02
9.147395599165042412e+00,5.558972893045314834e+00,7.890065556250645817e-02
9.324925642628794975e+00,5.558726076791918658e+00,7.915714165897819177e-02
9.493247287952174318e+00,5.558172636474482786e+00,7.949823334954632392e-02
9.661567643505231118e+00,5.557312011747781888e+00,7.991928131076475594e-02
9.826411260114424451e+00,5.556174953621288992e+00,8.041362706148205697e-02
9.991252642049445853e+00,5.554750241292272683e+00,8.097439961396549202e-02
1.015609132321443830e+01,5.553041331632788236e+00,8.143495962620656003e-02
1.032092685532167131e+01,5.551051684161140365e+00,8.193426203884499048e-02
1.048575880784769687e+01,5.548784760796257487e+00,8.226800440018232352e-02
1.065058676766557788e+01,5.546244025623333407e+00,8.262121664224386652e-02
1.081541033899437387e+01,5.543432944662961326e+00,8.256967447225727064e-02
